"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","27.420","27.320","27.910","26.850","3.55M","-0.65%"
"Mar 22","27.600","26.100","28.110","24.650","158.98M","6.11%"
"Feb 22","26.010","26.690","28.330","25.640","138.29M","-1.96%"
"Jan 22","26.530","27.730","28.790","26.510","128.03M","-3.56%"
"Dec 21","27.510","26.540","27.945","26.330","92.72M","3.03%"
"Nov 21","26.700","28.460","28.890","26.420","132.16M","-5.12%"
"Oct 21","28.140","27.650","28.980","27.300","102.03M","-0.04%"
"Sep 21","28.150","27.570","28.170","26.820","112.82M","1.08%"
"Aug 21","27.850","27.750","29.550","27.730","96.13M","0.51%"
"Jul 21","27.710","28.160","28.370","26.870","85.68M","-1.56%"
"Jun 21","28.150","28.560","29.640","27.930","101.45M","-1.95%"
"May 21","28.710","28.870","29.200","26.650","139.80M","-0.10%"
"Apr 21","28.740","28.300","29.230","28.010","76.26M","1.99%"
"Mar 21","28.180","26.150","29.550","26.150","130.87M","7.68%"
"Feb 21","26.170","23.410","26.950","23.110","103.17M","10.38%"
"Jan 21","23.710","22.760","24.900","22.560","92.56M","4.45%"
"Dec 20","22.700","22.520","23.670","22.380","117.56M","0.27%"
"Nov 20","22.640","19.080","23.820","18.790","191.07M","20.36%"
"Oct 20","18.810","17.350","19.970","16.970","148.40M","9.23%"
"Sep 20","17.220","18.100","18.530","16.400","174.81M","-5.80%"
"Aug 20","18.280","17.850","19.140","16.930","156.72M","1.78%"
"Jul 20","17.960","18.760","19.520","17.900","137.73M","-3.65%"
"Jun 20","18.640","17.720","21.215","17.410","250.39M","4.19%"
"May 20","17.890","16.490","19.250","15.070","230.76M","5.86%"
"Apr 20","16.900","17.430","17.630","15.350","220.59M","-0.35%"
"Mar 20","16.960","24.410","24.960","14.100","373.64M","-31.70%"
"Feb 20","24.830","25.250","27.290","24.530","134.85M","-3.57%"
"Jan 20","25.750","24.440","26.030","24.410","99.37M","4.55%"
"Dec 19","24.630","25.000","25.200","24.090","119.46M","-0.85%"
