"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","51.720","52.260","53.110","50.720","6.19M","-0.06%"
"Mar 22","51.750","47.050","52.610","44.920","300.92M","10.91%"
"Feb 22","46.660","45.440","49.880","44.050","394.03M","0.67%"
"Jan 22","46.350","41.750","48.240","41.700","590.73M","11.69%"
"Dec 21","41.500","39.380","42.100","39.070","152.52M","5.41%"
"Nov 21","39.370","36.650","39.380","35.560","180.98M","7.63%"
"Oct 21","36.580","37.120","39.280","36.170","142.75M","-2.74%"
"Sep 21","37.610","45.180","45.320","35.770","217.17M","-17.54%"
"Aug 21","45.610","53.520","54.370","43.880","196.98M","-14.73%"
"Jul 21","53.490","48.690","54.550","48.010","111.05M","10.13%"
"Jun 21","48.570","48.070","49.750","45.610","107.40M","1.50%"
"May 21","47.850","47.430","51.820","46.340","115.98M","0.31%"
"Apr 21","47.700","45.500","48.880","45.280","103.01M","5.30%"
"Mar 21","45.300","49.060","50.930","44.050","153.92M","-7.80%"
"Feb 21","49.130","43.570","50.780","43.030","120.03M","12.79%"
"Jan 21","43.560","42.630","47.545","42.460","114.16M","2.66%"
"Dec 20","42.430","38.010","43.660","37.720","141.81M","11.45%"
"Nov 20","38.070","34.090","39.480","33.750","137.64M","12.70%"
"Oct 20","33.780","36.030","37.330","33.730","115.66M","-5.11%"
"Sep 20","35.600","37.360","38.960","35.600","144.96M","-6.09%"
"Aug 20","37.910","36.880","40.520","36.880","138.97M","3.16%"
"Jul 20","36.750","36.000","38.840","35.450","124.43M","2.60%"
"Jun 20","35.820","35.000","38.090","34.700","148.64M","3.41%"
"May 20","34.640","31.250","35.500","29.170","161.71M","7.08%"
"Apr 20","32.350","29.950","32.430","28.760","176.46M","11.63%"
"Mar 20","28.980","33.090","34.470","24.050","388.13M","-13.75%"
"Feb 20","33.600","38.030","39.540","33.500","127.37M","-14.72%"
"Jan 20","39.400","38.700","41.470","38.700","111.70M","1.23%"
"Dec 19","38.920","38.050","40.390","36.550","104.80M","1.80%"
