"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","106.710","105.240","107.120","103.720","1.52M","0.89%"
"Mar 22","105.770","94.010","107.770","92.590","67.45M","13.17%"
"Feb 22","93.460","94.150","100.780","92.440","69.58M","-0.30%"
"Jan 22","93.740","102.000","103.480","92.370","60.50M","-7.19%"
"Dec 21","101.000","92.600","102.665","92.380","44.31M","8.39%"
"Nov 21","93.180","105.680","110.190","92.700","62.54M","-10.99%"
"Oct 21","104.680","102.000","107.200","99.620","78.36M","0.34%"
"Sep 21","104.330","99.620","105.940","99.150","57.16M","4.20%"
"Aug 21","100.120","99.890","109.030","99.000","54.49M","0.47%"
"Jul 21","99.650","99.850","100.780","96.030","44.68M","-0.22%"
"Jun 21","99.870","99.370","106.570","98.060","55.26M","0.15%"
"May 21","99.720","89.470","101.500","89.210","54.12M","11.99%"
"Apr 21","89.040","85.950","90.810","85.530","43.35M","3.41%"
"Mar 21","86.100","81.900","88.990","81.790","61.96M","5.57%"
"Feb 21","81.560","83.000","89.200","81.560","52.35M","-2.34%"
"Jan 21","83.510","82.230","86.920","82.170","46.26M","1.71%"
"Dec 20","82.110","79.010","84.840","78.790","57.41M","3.84%"
"Nov 20","79.070","69.680","83.350","66.040","73.76M","14.56%"
"Oct 20","69.020","63.910","70.660","63.560","55.79M","8.50%"
"Sep 20","63.610","67.510","68.600","62.640","72.87M","-6.84%"
"Aug 20","68.280","70.410","76.750","68.280","75.37M","-4.10%"
"Jul 20","71.200","69.450","74.720","68.870","68.56M","2.56%"
"Jun 20","69.420","63.050","72.420","62.310","90.73M","8.89%"
"May 20","63.750","61.510","67.030","58.010","89.51M","1.69%"
"Apr 20","62.690","64.000","64.790","57.000","99.48M","1.41%"
"Mar 20","61.820","80.050","81.950","53.440","189.13M","-24.41%"
"Feb 20","81.780","84.150","91.050","81.270","79.01M","-4.08%"
"Jan 20","85.260","79.790","85.970","79.230","52.99M","6.71%"
"Dec 19","79.900","81.350","82.380","77.810","53.52M","-1.14%"
