Date,Close/Last,Volume,Open,High,Low
04/01/2022,$47.7,15070240,$47.155,$47.8,$46.845
03/31/2022,$46.82,21186600,$47.87,$47.92,$46.82
03/30/2022,$47.69,15452210,$47.57,$47.84,$47.41
03/29/2022,$47.78,20459370,$47.98,$48.2,$47.385
03/28/2022,$47.53,18965400,$47.16,$47.55,$46.73
03/25/2022,$47.13,15014740,$47.05,$47.365,$46.85
03/24/2022,$46.8,13375400,$46.88,$47.02,$46.43
03/23/2022,$46.52,16229630,$47.15,$47.35,$46.52
03/22/2022,$47.22,15409600,$47.14,$47.5,$46.97
03/21/2022,$46.67,17884720,$46.89,$47.125,$46.19
03/18/2022,$46.91,35185350,$46.31,$46.97,$45.935
03/17/2022,$46.48,16955610,$46.225,$46.5,$45.445
03/16/2022,$46.23,20107730,$45.62,$46.34,$45.015
03/15/2022,$45.54,22824380,$45.555,$45.75,$45.11
03/14/2022,$44.97,17564210,$45.36,$45.76,$44.8434
03/11/2022,$45.02,19584780,$45.96,$46.25,$44.95
03/10/2022,$45.39,18179460,$45.59,$45.825,$44.945
03/09/2022,$46.12,20113720,$46.78,$47.14,$45.98
03/08/2022,$46.13,24592720,$46.34,$47.295,$46.08
03/07/2022,$46.3,30718650,$47,$47.41,$45.9
03/04/2022,$47.21,21369840,$46.9,$47.395,$46.4
03/03/2022,$47.12,23131580,$46.87,$47.64,$46.7
03/02/2022,$46.38,25978660,$46.74,$47.1,$46.25
03/01/2022,$46.39,21843440,$46.14,$46.95,$45.805
02/28/2022,$46.76,29824660,$46.46,$47.13,$46.095
02/25/2022,$47.07,30442010,$46.19,$47.455,$45.995
02/24/2022,$46.01,29784050,$44.465,$46.06,$44.27
02/23/2022,$45.13,36279080,$46.82,$47,$44.8
02/22/2022,$46.94,21635660,$47,$47.47,$46.615
02/18/2022,$46.64,21220420,$46.78,$47.15,$46.43
02/17/2022,$46.77,20569040,$47.64,$47.66,$46.67
02/16/2022,$48.09,14852100,$47.92,$48.255,$47.65
02/15/2022,$48.05,21087940,$47.71,$48.315,$47.69
02/14/2022,$47.4,24481630,$48.1,$48.39,$47.07
02/11/2022,$47.62,26312630,$48.74,$49.33,$47.495
02/10/2022,$48.92,21583390,$48.95,$49.61,$48.75
02/09/2022,$49.77,19142930,$49.5,$49.79,$49.245
02/08/2022,$49.21,17964570,$49.08,$49.54,$48.8251
02/07/2022,$48.86,19033980,$49.45,$49.53,$48.71
02/04/2022,$49.33,23203080,$49.16,$49.68,$48.72
02/03/2022,$49.64,28416370,$50.435,$50.98,$49.59
02/02/2022,$49.99,20280520,$49.94,$50.25,$49.36
02/01/2022,$49.94,23489830,$49.15,$50.01,$48.89
01/31/2022,$49.99,24470660,$49.29,$50.1,$49.03
01/28/2022,$49.72,34458030,$47.884,$49.89,$47.73
01/27/2022,$48.01,49168090,$45.474,$50.07,$45.47
01/26/2022,$48.46,34221330,$49.52,$50.35,$47.87
01/25/2022,$49.67,32154320,$49.26,$50.037,$48.815
01/24/2022,$50.07,41715120,$50.56,$51.2,$48.78
01/21/2022,$49.73,33155370,$50.38,$50.945,$49.65
01/20/2022,$50.22,20052340,$50.51,$51.615,$50.15
01/19/2022,$50.33,17852310,$50.21,$50.78,$49.505
01/18/2022,$50.18,23364770,$51.07,$51.39,$50.06
01/14/2022,$51.68,18789920,$51.47,$52.1,$51.14
01/13/2022,$51.28,17924690,$50.8,$51.68,$50.12
01/12/2022,$50.95,17992620,$51.43,$51.69,$50.82
01/11/2022,$51.14,18836200,$50.58,$51.18,$50.36
01/10/2022,$50.52,20216650,$50.368,$50.92,$49.865
01/07/2022,$50.05,17894470,$50.35,$50.59,$49.97
01/06/2022,$50.51,18288180,$50.43,$50.98,$50.185
01/05/2022,$50.22,20727860,$50.573,$51.2,$50.15
01/04/2022,$50.19,24592790,$50.71,$51.02,$49.92
01/03/2022,$50.74,20706990,$49.98,$50.95,$49.71
12/31/2021,$50.33,12345380,$50.79,$51.29,$50.29
12/30/2021,$50.59,11343050,$50.72,$51.2,$50.5275
12/29/2021,$50.59,12045570,$50.63,$50.77,$50.31
12/28/2021,$50.51,9285440,$50.47,$51.02,$50.31
12/27/2021,$50.47,16422830,$50.02,$50.59,$49.66
12/23/2021,$50.03,18420040,$49.37,$50.215,$49.31
12/22/2021,$49.03,26551960,$48.78,$49.16,$48.425
12/21/2021,$48.86,19756310,$48.63,$49.315,$48.4
12/20/2021,$48.4,18991160,$48.25,$48.68,$47.98
12/17/2021,$48.75,41501890,$48.21,$49.25,$48.04
12/16/2021,$48.84,28400870,$48.55,$49.52,$48.42
12/15/2021,$48.18,23040410,$48.14,$48.71,$47.77
12/14/2021,$48.76,34729590,$46.292,$49,$46.29
12/13/2021,$47.71,30178300,$47.98,$48.4,$47.4506
12/10/2021,$48.45,27865400,$48.277,$48.51,$47.78
12/09/2021,$47.81,35048220,$48.667,$48.815,$47.59
12/08/2021,$48.94,36605540,$49.27,$49.8401,$48.59
12/07/2021,$49.58,46086870,$52.3,$53.19,$48.715
12/06/2021,$52.35,22334400,$52.2,$53.315,$52.06
12/03/2021,$51.78,22351380,$51.442,$52.25,$51.41
12/02/2021,$51.5,26158390,$49.76,$51.96,$49.68
12/01/2021,$49.08,21236960,$51.135,$51.4,$49.05
11/30/2021,$49.98,31517180,$51.3,$51.3,$49.805
11/29/2021,$51.53,19104200,$51.57,$51.76,$50.82
11/26/2021,$51.1,12874850,$51.08,$51.37,$50.69
11/24/2021,$51.88,10122220,$51.91,$52.13,$51.4901
11/23/2021,$52.04,19514150,$51.77,$52.52,$51.51
11/22/2021,$51.51,17994890,$51.747,$52.53,$51.14
11/19/2021,$51.91,18226230,$52.74,$52.785,$51.61
11/18/2021,$52.78,15052800,$53.15,$53.61,$52.68
11/17/2021,$53.73,14720120,$53.139,$53.79,$52.92
11/16/2021,$53.12,12853600,$53.46,$53.725,$53.06
11/15/2021,$53.38,9970298,$53.45,$53.73,$53.24
11/12/2021,$53.5,12100360,$53.89,$53.99,$53.155
11/11/2021,$53.66,10846410,$54.08,$54.19,$53.44
11/10/2021,$54.17,15905270,$53.78,$54.59,$53.775
11/09/2021,$53.75,13501910,$53.362,$54.01,$53.26
11/08/2021,$53.49,13428410,$53.83,$54.04,$53.22
11/05/2021,$53.9,17624840,$53.36,$54.325,$53.31
11/04/2021,$52.73,16582100,$52.79,$53.25,$52.13
11/03/2021,$52.95,16311950,$52.48,$53.09,$52.26
11/02/2021,$52.64,15469780,$52.46,$52.95,$51.875
11/01/2021,$52.26,19052170,$51.48,$52.69,$51.435
10/29/2021,$51.43,26924310,$51.54,$52.56,$51.115
10/28/2021,$51.9,21159380,$50.395,$52.74,$49.8
10/27/2021,$52.44,22840260,$53.77,$53.86,$52.13
10/26/2021,$53.76,13446370,$54.13,$54.36,$53.535
10/25/2021,$54.08,13471070,$54.13,$54.28,$53.65
10/22/2021,$54.22,14906950,$54.05,$54.35,$53.5
10/21/2021,$54.03,13686700,$54.74,$54.74,$53.78
10/20/2021,$54.71,12658800,$54.515,$54.88,$53.91
10/19/2021,$54.24,15335130,$53.71,$54.25,$53.49
10/18/2021,$53.22,20106100,$53.61,$53.74,$52.89
10/15/2021,$54.02,18876550,$54.25,$54.54,$53.69
10/14/2021,$53.99,20941330,$52.7701,$54.31,$52.7701
10/13/2021,$52.69,19950660,$53.24,$53.3,$52.105
10/12/2021,$52.33,27671430,$52.37,$52.63,$51.505
10/11/2021,$52.22,31934920,$53.934,$54.1,$52.17
10/08/2021,$54.7,24009740,$56.98,$56.98,$54.57
10/07/2021,$57.4,13838680,$57.42,$57.9599,$57.28
10/06/2021,$56.9,22845250,$56.09,$56.97,$55.91
10/05/2021,$56.79,15620500,$56.33,$57.31,$56.27
10/04/2021,$56.78,14261480,$57.2,$57.2,$56.52
10/01/2021,$57.21,15489470,$56.39,$57.475,$56.075
09/30/2021,$55.93,19457310,$56.01,$56.92,$55.92
09/29/2021,$55.93,16926760,$54.95,$56.19,$54.71
09/28/2021,$54.75,21386660,$55.55,$55.83,$54.6
09/27/2021,$56.29,10188410,$55.85,$56.33,$55.75
09/24/2021,$56.24,11417830,$55.92,$56.48,$55.75
09/23/2021,$56.17,15254870,$56.07,$56.89,$55.87
09/22/2021,$56.02,17508110,$56.87,$57.055,$55.905
09/21/2021,$56.06,13698230,$56.97,$57.3,$55.745
09/20/2021,$56.49,19287190,$56.89,$56.99,$55.86
09/17/2021,$57.11,23758580,$56.93,$57.65,$56.805
09/16/2021,$57.28,18591050,$57.25,$57.7299,$56.4
09/15/2021,$57,37041400,$55.5,$57.68,$55.5
09/14/2021,$55.59,54749300,$60.348,$60.845,$55.395
09/13/2021,$59.97,14018120,$59.98,$60.59,$59.525
09/10/2021,$59.3,10211540,$59.44,$59.845,$59.06
09/09/2021,$59.56,10390470,$60.37,$60.37,$59.43
09/08/2021,$60.14,16750380,$60.16,$60.515,$60.04
09/07/2021,$60.3,15979330,$61.43,$61.567,$60.2
09/03/2021,$61.72,8081434,$61.404,$61.8,$61.33
09/02/2021,$61.75,10224540,$61.37,$61.8,$61.28
09/01/2021,$61.14,15040270,$61.01,$61.52,$60.56
08/31/2021,$60.68,16718700,$59.47,$60.755,$59.41
08/30/2021,$59.71,11995130,$59.23,$59.745,$59.1
08/27/2021,$59.4,13129660,$59.11,$59.51,$58.955
08/26/2021,$59,8118817,$59.59,$59.7,$58.97
08/25/2021,$59.48,7757139,$59.51,$59.82,$59.21
08/24/2021,$59.53,9613574,$59.86,$60.045,$59.4
08/23/2021,$59.8,12419830,$59.11,$60.12,$59
08/20/2021,$59.41,11538240,$58.857,$59.69,$58.7
08/19/2021,$58.96,10460100,$59.03,$59.21,$58.515
08/18/2021,$59.03,12514250,$59.47,$59.68,$58.98
08/17/2021,$59.47,12911590,$59.12,$59.5,$58.81
08/16/2021,$59.25,12221330,$59.14,$59.58,$58.86
08/13/2021,$59.32,7542764,$59.37,$59.5,$58.992
08/12/2021,$59.03,9315096,$59.05,$59.14,$58.59
08/11/2021,$59.09,8849849,$58.91,$59.15,$58.47
08/10/2021,$58.45,8229364,$58.22,$58.46,$58.045
08/09/2021,$58.28,12119250,$58.66,$58.6896,$58.03
08/06/2021,$58.69,10589170,$58.2,$58.97,$58.1374
08/05/2021,$58.34,8723538,$58.3,$58.63,$58.02
08/04/2021,$57.97,9507626,$58.01,$58.43,$57.485
08/03/2021,$58.23,11207790,$58.7,$58.75,$57.24
08/02/2021,$58.47,11634280,$58.96,$59.27,$58.01
07/30/2021,$58.83,22478500,$58.07,$59.225,$57.9075
07/29/2021,$58.11,19769580,$59.2,$59.7,$58.06
07/28/2021,$57.98,13239550,$58.25,$58.54,$57.38
07/27/2021,$58.56,11625280,$58.67,$59.08,$58.28
07/26/2021,$58.7,11595420,$58.21,$58.77,$58
07/23/2021,$58.36,8550834,$57.92,$58.59,$57.78
07/22/2021,$57.79,13377480,$57.83,$57.97,$56.89
07/21/2021,$57.81,13990320,$56.93,$58.11,$56.76
07/20/2021,$57.08,17575340,$56.73,$57.44,$56.52
07/19/2021,$56.63,18287470,$57.48,$57.565,$56.32
07/16/2021,$57.55,12409880,$57.916,$58.35,$57.5
07/15/2021,$57.95,12757310,$57.64,$58.125,$57.49
