"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","261.97","267.19","271.10","260.87","502.37K","-2.30%"
"Mar 22","268.15","259.36","274.74","248.97","19.94M","3.14%"
"Feb 22","259.98","262.88","280.00","240.10","22.52M","-0.14%"
"Jan 22","260.35","288.56","296.23","245.33","19.93M","-10.45%"
"Dec 21","290.72","311.94","311.94","271.14","25.06M","-5.24%"
"Nov 21","306.79","305.18","319.78","303.27","12.36M","2.10%"
"Oct 21","300.49","293.13","304.99","285.12","12.92M","2.42%"
"Sep 21","293.40","310.01","312.99","285.33","15.41M","-5.94%"
"Aug 21","311.94","291.88","315.18","288.91","14.70M","7.97%"
"Jul 21","288.91","284.78","295.77","273.01","13.61M","1.30%"
"Jun 21","285.19","289.68","307.57","282.21","15.24M","-1.73%"
"May 21","290.21","272.50","292.87","269.08","13.53M","7.03%"
"Apr 21","271.16","267.00","275.99","261.57","12.91M","2.46%"
"Mar 21","264.65","265.94","273.80","242.00","19.54M","0.78%"
"Feb 21","262.59","272.30","295.30","262.59","17.43M","-3.36%"
"Jan 21","271.72","284.71","285.62","263.66","16.22M","-4.05%"
"Dec 20","283.18","301.00","306.27","283.18","16.22M","-4.78%"
"Nov 20","297.38","288.80","320.42","285.11","17.57M","3.41%"
"Oct 20","287.56","289.12","307.00","283.10","16.28M","0.20%"
"Sep 20","287.00","285.00","299.45","279.00","19.74M","0.35%"
"Aug 20","286.01","270.00","317.99","268.68","22.18M","5.89%"
"Jul 20","270.10","287.50","297.99","267.53","20.60M","-5.89%"
"Jun 20","287.00","277.00","297.64","275.50","26.15M","3.90%"
"May 20","276.22","308.00","313.72","276.22","24.33M","-10.74%"
"Apr 20","309.44","311.51","332.68","297.00","23.09M","4.30%"
"Mar 20","296.68","298.62","325.00","242.67","43.08M","-4.12%"
"Feb 20","309.44","309.50","342.75","305.87","19.79M","-0.84%"
"Jan 20","312.05","274.80","319.00","273.87","16.20M","13.16%"
"Dec 19","275.76","283.20","287.90","274.11","17.43M","-2.72%"
