Date,Close/Last,Volume,Open,High,Low
04/01/2022,$2803.01,1297072,$2790,$2809.415,$2766.15
03/31/2022,$2781.35,1876236,$2841.06,$2842.155,$2780.49
03/30/2022,$2838.77,994238,$2849.2,$2854.4063,$2832
03/29/2022,$2850.11,1715851,$2852.95,$2875.87,$2840.765
03/28/2022,$2829.11,1752463,$2818.01,$2840.05,$2796.225
03/25/2022,$2833.46,1207154,$2838.32,$2840.7,$2794.75
03/24/2022,$2831.44,1319828,$2784,$2832.375,$2755.01
03/23/2022,$2765.51,1257670,$2774.05,$2791.77,$2756.7
03/22/2022,$2797.36,1774777,$2722.03,$2821,$2722.03
03/21/2022,$2722.03,1341584,$2723.27,$2741,$2681.845
03/18/2022,$2722.51,2228345,$2668.49,$2724.88,$2645.165
03/17/2022,$2676.78,1413196,$2662.98,$2681.608,$2643.7
03/16/2022,$2665.61,1778849,$2614.66,$2666.66,$2574.69
03/15/2022,$2583.96,1545976,$2539.52,$2597.09,$2514.41
03/14/2022,$2519.02,1940563,$2605,$2608.18,$2505.5
03/11/2022,$2597.41,1576322,$2669.77,$2675.91,$2592.63
03/10/2022,$2648.59,1355070,$2625.32,$2665.435,$2618.25
03/09/2022,$2668.4,1851270,$2625,$2674.71,$2598.01
03/08/2022,$2542.09,2021355,$2525,$2625,$2513.4937
03/07/2022,$2527.57,2255647,$2629.76,$2634.7,$2525.9
03/04/2022,$2638.13,1522532,$2658.55,$2677.03,$2606.75
03/03/2022,$2677.99,1230162,$2720.2,$2728.7899,$2660.51
03/02/2022,$2691.43,1175990,$2692.56,$2705.25,$2661.4308
03/01/2022,$2681.23,1324768,$2697.57,$2725.11,$2664.37
02/28/2022,$2701.14,1943221,$2661,$2715.03,$2651.845
02/25/2022,$2689.19,1820299,$2671.04,$2705.43,$2635.03
02/24/2022,$2653.82,2722754,$2499.065,$2660,$2499.065
02/23/2022,$2551.76,1639301,$2632.97,$2641.02,$2550.55
02/22/2022,$2596.27,2249537,$2596.762,$2643.605,$2564.465
02/18/2022,$2608.06,2280972,$2669.34,$2681.3999,$2603.93
02/17/2022,$2650.78,1947475,$2724.86,$2742.2699,$2649.57
02/16/2022,$2754.76,1251065,$2732.93,$2761.72,$2698.475
02/15/2022,$2732.17,1335563,$2751.41,$2762.17,$2716.43
02/14/2022,$2710.52,1715054,$2665.13,$2726,$2665.13
02/11/2022,$2685.65,1997917,$2772,$2783.125,$2668
02/10/2022,$2772.4,1966533,$2794.07,$2829.69,$2759.14
02/09/2022,$2831.84,2007194,$2819.27,$2850.485,$2803.7406
02/08/2022,$2787.98,2714180,$2780.53,$2800,$2740.277
02/07/2022,$2784.02,2748665,$2885,$2885,$2778
02/04/2022,$2865.86,2899911,$2868.893,$2897.5,$2810.3
02/03/2022,$2861.8,3575861,$2914.11,$2993.5,$2853.3063
02/02/2022,$2960,6159961,$3025,$3030.9315,$2910.4501
02/01/2022,$2752.88,3432182,$2751.89,$2755.855,$2687.37
01/31/2022,$2706.07,1999300,$2683.24,$2709.46,$2644.19
01/28/2022,$2667.02,1718074,$2593.18,$2667.13,$2569.7
