"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","203.130","203.020","207.990","200.840","477.46K","-0.07%"
"Mar 22","203.270","182.000","208.000","173.000","19.99M","12.44%"
"Feb 22","180.780","186.000","204.880","175.650","20.90M","-1.55%"
"Jan 22","183.620","207.000","217.320","176.190","20.24M","-10.60%"
"Dec 21","205.400","196.490","208.600","193.700","12.43M","4.40%"
"Nov 21","196.740","194.000","208.360","188.290","18.54M","-0.55%"
"Oct 21","197.830","178.290","202.500","175.395","13.86M","8.70%"
"Sep 21","182.000","165.650","182.660","165.050","16.66M","9.15%"
"Aug 21","166.740","156.950","167.620","154.820","12.85M","6.27%"
"Jul 21","156.900","156.670","159.680","151.050","12.71M","0.30%"
"Jun 21","156.430","151.610","158.600","149.010","14.65M","2.96%"
"May 21","151.930","160.670","161.790","147.600","16.86M","-5.33%"
"Apr 21","160.490","151.400","162.060","150.040","11.98M","5.01%"
"Mar 21","152.830","143.030","155.400","142.260","16.99M","7.26%"
"Feb 21","142.480","129.230","149.000","126.510","16.41M","8.43%"
"Jan 21","131.400","138.540","142.370","130.380","12.94M","-5.11%"
"Dec 20","138.480","138.050","142.540","136.320","14.54M","-0.14%"
"Nov 20","138.670","126.320","143.980","125.560","21.19M","9.40%"
"Oct 20","126.750","119.830","137.480","118.680","16.07M","6.00%"
"Sep 20","119.570","127.180","131.750","118.360","22.68M","-6.37%"
"Aug 20","127.700","122.380","130.990","121.265","16.40M","3.41%"
"Jul 20","123.490","118.000","128.630","117.660","21.11M","4.12%"
"Jun 20","118.600","108.810","124.830","107.190","31.45M","7.85%"
"May 20","109.970","100.980","115.220","93.620","34.86M","7.12%"
"Apr 20","102.660","88.900","105.230","82.730","34.05M","19.72%"
"Mar 20","85.750","132.850","139.000","70.450","60.06M","-36.40%"
"Feb 20","134.830","142.000","152.350","133.720","18.90M","-6.87%"
"Jan 20","144.770","137.200","146.840","136.680","14.82M","5.02%"
"Dec 19","137.850","137.860","140.740","131.610","15.85M","-0.14%"
