"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","32.940","32.130","32.980","31.960","4.17M","1.82%"
"Mar 22","32.350","29.140","32.590","28.010","155.26M","11.78%"
"Feb 22","28.940","27.220","30.980","27.070","139.75M","6.67%"
"Jan 22","27.130","29.210","29.690","26.690","132.22M","-5.93%"
"Dec 21","28.840","27.200","29.380","27.050","96.89M","5.64%"
"Nov 21","27.300","29.090","30.300","27.000","151.72M","-4.91%"
"Oct 21","28.710","27.380","29.450","27.010","114.18M","3.16%"
"Sep 21","27.830","27.750","28.880","26.700","126.62M","0.36%"
"Aug 21","27.730","26.050","27.800","26.030","113.21M","6.94%"
"Jul 21","25.930","26.350","26.520","25.080","97.80M","-1.11%"
"Jun 21","26.220","26.800","27.560","25.800","120.19M","-2.71%"
"May 21","26.950","26.750","27.840","25.830","138.78M","1.09%"
"Apr 21","26.660","25.970","27.030","25.810","96.99M","2.54%"
"Mar 21","26.000","24.690","27.100","24.660","125.99M","5.52%"
"Feb 21","24.640","23.000","25.920","22.860","120.52M","4.67%"
"Jan 21","23.540","22.750","24.470","22.245","95.00M","4.16%"
"Dec 20","22.600","22.890","23.950","22.600","111.24M","-1.27%"
"Nov 20","22.890","18.850","24.130","18.520","194.44M","23.06%"
"Oct 20","18.600","17.800","19.710","17.360","153.74M","4.79%"
"Sep 20","17.750","17.720","18.440","16.560","197.10M","-1.00%"
"Aug 20","17.930","17.450","18.620","16.600","172.69M","1.53%"
"Jul 20","17.660","18.340","19.150","17.590","165.70M","-3.07%"
"Jun 20","18.220","17.430","20.860","17.270","272.43M","2.30%"
"May 20","17.810","16.100","19.270","15.110","313.70M","5.01%"
"Apr 20","16.960","17.170","17.220","15.000","263.98M","1.68%"
"Mar 20","16.680","24.600","24.980","13.195","441.11M","-33.55%"
"Feb 20","25.100","25.350","27.490","24.810","146.62M","-2.94%"
"Jan 20","25.860","24.500","26.020","24.360","91.92M","4.99%"
"Dec 19","24.630","25.850","26.010","24.510","142.30M","-4.87%"
