Date,Close/Last,Volume,Open,High,Low
04/01/2022,$116.67,11037800,$116,$118.24,$115.04
03/31/2022,$115.65,13928290,$118.105,$118.89,$115.59
03/30/2022,$118.49,16513340,$122.325,$122.81,$118.03
03/29/2022,$121.18,15918410,$118.65,$121.55,$116.97
03/28/2022,$116.17,13867980,$114,$117.1,$112.36
03/25/2022,$113.76,12378260,$116.04,$116.19,$112.09
03/24/2022,$116.05,13546670,$115.82,$116.19,$113.32
03/23/2022,$114.65,14430570,$115.53,$117.36,$114.09
03/22/2022,$117.87,16746090,$114.65,$119.35,$114.65
03/21/2022,$114.65,19888870,$117.22,$117.5,$112.5
03/18/2022,$118.77,31997830,$111.53,$119.38,$110.23
03/17/2022,$112.16,21950820,$106.56,$112.18,$106.47
03/16/2022,$107.92,24840490,$102.38,$107.94,$101.89
03/15/2022,$100.46,18032860,$98.675,$100.57,$96.05
03/14/2022,$96.87,20988850,$96.045,$100.64,$94.63
03/11/2022,$96.57,15141670,$99.75,$99.82,$95.52
03/10/2022,$98.55,14703200,$99.05,$99.32,$96.4
03/09/2022,$100.22,20811250,$98.12,$100.73,$97.29
03/08/2022,$94.9,25130950,$93.04,$98.6,$92.25
03/07/2022,$93.61,26529920,$99.57,$100.33,$93.5
03/04/2022,$99.91,20159120,$100.24,$102.39,$98.62
03/03/2022,$101.34,20330760,$107.66,$107.75,$100.86
03/02/2022,$106.61,17023540,$105.61,$107.23,$103.69
03/01/2022,$106.51,19597680,$112.73,$112.75,$105.561
02/28/2022,$111.93,25719350,$110.31,$113.535,$108.93
02/25/2022,$110.94,33806880,$106.15,$111.1,$104.53
02/24/2022,$105.02,35400630,$94.74,$105.26,$94.5
02/23/2022,$100.72,25263640,$105.02,$105.55,$100.595
02/22/2022,$103.17,28422160,$102.15,$105.08,$101.71
02/18/2022,$103.65,28157410,$106,$106.741,$103.03
02/17/2022,$105.2,33972160,$109.99,$111.41,$104.99
02/16/2022,$110.54,28938690,$114.7,$114.79,$110.38
02/15/2022,$115.46,19007630,$115.415,$116.4,$114.01
02/14/2022,$114.12,22786950,$113.62,$116.63,$113
02/11/2022,$115.29,24624880,$119.65,$120.89,$114.73
02/10/2022,$119.02,30012630,$121.54,$125.28,$118.48
02/09/2022,$122.94,29475580,$122.21,$123.9721,$119.81
02/08/2022,$120.26,30862690,$121.02,$123.3299,$118.55
02/07/2022,$121.41,30384510,$126.58,$129.42,$120.5
02/04/2022,$126.08,33103480,$124.39,$126.7,$121.4
02/03/2022,$124.3,52101230,$129.95,$131.45,$123.85
02/02/2022,$132.57,136264000,$139.89,$139.9,$129.01
02/01/2022,$175.8,23286880,$172.77,$176.2,$170.53
01/31/2022,$171.94,14260030,$164.44,$172.16,$163.22
01/28/2022,$163.52,9861663,$158.37,$163.64,$156.79
01/27/2022,$158.11,12657010,$159.432,$162.55,$156.54
01/26/2022,$156.98,15966500,$162.09,$165.33,$155.49
01/25/2022,$158.2,13268100,$159.8,$160.91,$155.27
01/24/2022,$162.17,23702210,$156.11,$162.4482,$152.08
01/21/2022,$163.54,20050950,$171.8,$172.96,$163.3
01/20/2022,$173.28,13992540,$175.01,$179.88,$173.04
01/19/2022,$173.55,13715750,$174.35,$177.28,$172.6
01/18/2022,$174.46,12735480,$176.96,$179.68,$174
01/14/2022,$178.42,14374450,$179.15,$182,$175.4
01/13/2022,$181.01,12779860,$187.78,$190.84,$180.35
01/12/2022,$187.2,13588820,$189.7,$191.45,$185.28
01/11/2022,$191.52,12867650,$182.99,$192.85,$182.62
01/10/2022,$182.95,14701570,$185.75,$185.75,$177.4
01/07/2022,$187.6,12627270,$190.02,$193.125,$186.3
01/06/2022,$192.27,14206260,$185.52,$195,$185.07
01/05/2022,$187.16,13227640,$189.865,$194.25,$187.15
01/04/2022,$191.14,14197970,$196,$196.0998,$188.19
01/03/2022,$194.94,12797800,$191.41,$196,$189.95
12/31/2021,$188.58,7360352,$191.45,$192.23,$188.4
12/30/2021,$191.88,9634832,$189.61,$193.95,$188.91
12/29/2021,$189.97,7038696,$190.03,$191.27,$187.83
12/28/2021,$190.1,7974873,$192.19,$194,$189.11
12/27/2021,$192.01,8357284,$192.39,$193.92,$191.08
12/23/2021,$192.01,7762002,$192.47,$192.9561,$190.25
12/22/2021,$191.68,9541564,$189.16,$191.77,$188.039
12/21/2021,$189.14,12515480,$183.18,$189.29,$183.08
12/20/2021,$182.68,10906780,$182.53,$184.4061,$181.67
12/17/2021,$186.2,18899850,$187.005,$187.84,$181.99
12/16/2021,$188.75,12326080,$194.166,$195.24,$188.251
12/15/2021,$190.66,11278510,$185.12,$191.1,$183.67
12/14/2021,$186.8,11414170,$183.74,$189.1434,$182.78
12/13/2021,$186.38,11812190,$187.5,$190.2,$185.3
12/10/2021,$188.51,11908150,$192.94,$194.15,$186.8
12/09/2021,$191.75,11550680,$196.06,$196.42,$191.44
12/08/2021,$197.35,14433210,$191.95,$197.69,$190.09
12/07/2021,$191.02,17772720,$188.67,$192.828,$188.43
12/06/2021,$184.86,13303430,$183.41,$186.07,$179.2
12/03/2021,$183.93,20737540,$187.73,$187.8,$179.29
12/02/2021,$187.15,20422680,$180.105,$188.8,$179.73
12/01/2021,$179.32,19542920,$187.77,$190.35,$179.15
11/30/2021,$184.89,21144290,$186.47,$188.825,$180.5
11/29/2021,$187.24,16308220,$188.92,$189.9,$182.43
11/26/2021,$187.79,11080420,$188.38,$193,$186.83
11/24/2021,$188.71,13359140,$187,$189.64,$184.74
11/23/2021,$188.05,20004540,$189.155,$190.79,$185.2
11/22/2021,$189.48,29956600,$193.62,$193.9,$184.275
11/19/2021,$193.61,24607530,$202.19,$202.5,$193.0701
11/18/2021,$200.5,19980110,$206.99,$207.5,$199.2
11/17/2021,$206.27,23095570,$211.145,$213.97,$203.35
11/16/2021,$215.67,16697520,$214.89,$215.97,$211.77
11/15/2021,$212.54,17433100,$212.22,$214.2091,$210.71
11/12/2021,$208.3,20954570,$203.25,$210.02,$201.4835
11/11/2021,$202.03,17712090,$207.92,$208.31,$201.56
11/10/2021,$204.64,23585950,$204.1,$208.2,$202.78
11/09/2021,$205.42,63995080,$212.4,$212.4,$200.68
11/08/2021,$229.42,23213880,$227.96,$230.97,$226.25
11/05/2021,$225.78,16665650,$230,$230.42,$224.6
11/04/2021,$228.22,14158860,$231.61,$231.92,$225
11/03/2021,$230.38,14177950,$228.33,$230.9,$225.3101
11/02/2021,$229.46,12676710,$232.54,$232.761,$227.8
11/01/2021,$231.28,14054940,$232.7,$233.55,$230.19
10/29/2021,$232.59,13010820,$235.43,$238.9,$231.71
10/28/2021,$236.83,14288270,$237,$237.94,$232.78
10/27/2021,$234.94,19043910,$243.85,$244.6899,$233.92
10/26/2021,$243,14404290,$249.45,$249.88,$241.01
10/25/2021,$246.88,23046730,$254.955,$255.52,$245.82
10/22/2021,$240.4,24170920,$243.73,$246.66,$239.75
10/21/2021,$243.21,42508930,$258.61,$258.96,$242.98
10/20/2021,$258.36,31271740,$273,$273.51,$253.1
10/19/2021,$271.7,3985909,$271.01,$273.27,$269.835
10/18/2021,$270.33,4367137,$266.39,$270.44,$264.71
10/15/2021,$268.35,5007867,$268.7006,$269.7209,$265.44
10/14/2021,$266.45,7855106,$261.5,$267.41,$260.2
10/13/2021,$256.36,6024050,$258.73,$261.24,$254.245
10/12/2021,$255.85,4289324,$256,$257.97,$253.78
10/11/2021,$255.05,5031650,$257.93,$260.66,$254.69
10/08/2021,$260.06,4095908,$264.955,$265.47,$259.8
10/07/2021,$263.54,5276445,$265.95,$268.6933,$263.07
10/06/2021,$264.06,4615285,$256.29,$264.39,$256.03
10/05/2021,$260.15,6326587,$255.22,$262.77,$253.59
10/04/2021,$255.01,7267168,$261.838,$262.57,$251.59
10/01/2021,$264.65,4560448,$261.455,$265.82,$260.11
09/30/2021,$260.21,5329257,$259.65,$263.47,$258.73
09/29/2021,$259,6829064,$263.51,$264.46,$256.89
09/28/2021,$262.19,8352372,$269.895,$271.44,$261.68
09/27/2021,$273.39,4614852,$274.78,$276.78,$272.1855
09/24/2021,$278.11,3985813,$276.02,$278.33,$274.69
09/23/2021,$279.1,5409581,$274.45,$279.95,$273.78
09/22/2021,$272.34,5574070,$270.46,$273.47,$266.5
09/21/2021,$269.49,4326076,$271.75,$272.2986,$267.8
09/20/2021,$269.91,7728307,$271.55,$273,$265.68
09/17/2021,$276.34,8117226,$282.18,$282.5,$275.92
09/16/2021,$282.97,3606742,$281.04,$283.69,$280.39
09/15/2021,$282.43,4056783,$284.21,$285.75,$279.5
09/14/2021,$282.24,4216695,$281.844,$283.17,$279.71
09/13/2021,$280.49,4836471,$286.72,$287.19,$277.8
09/10/2021,$284.32,3816588,$288.6,$289,$284.11
09/09/2021,$286.88,4169970,$287.45,$289.37,$285.08
09/08/2021,$285.23,11039280,$296.55,$296.7,$283.33
09/07/2021,$293.26,6789751,$290.41,$293.68,$288.04
09/03/2021,$289.13,5287970,$285.03,$290.38,$284.4
09/02/2021,$285.53,4647112,$288.9,$288.9,$285.25
09/01/2021,$286.75,5568281,$290.1,$290.9,$286.36
08/31/2021,$288.66,8911799,$290.93,$292.65,$284.34
08/30/2021,$288.47,14631050,$279.61,$290.406,$279.08
08/27/2021,$278.33,3916952,$274.03,$278.89,$273.67
08/26/2021,$273.62,3626405,$277.89,$278.68,$273.52
08/25/2021,$277.69,4392583,$279.8157,$279.8296,$276.77
08/24/2021,$279.51,3542641,$278.93,$279.58,$276.5086
08/23/2021,$276.98,5507500,$275.75,$278.29,$273.02
08/20/2021,$272.96,4179531,$269.54,$273.935,$269.54
08/19/2021,$270.58,5119910,$267.19,$272.0099,$266.6033
08/18/2021,$268.84,4830905,$271.01,$272.77,$268.48
08/17/2021,$271.1,7966077,$275.25,$275.545,$269.08
08/16/2021,$278.28,5285791,$273.73,$279.19,$273.56
08/13/2021,$274.91,4097209,$276.17,$276.81,$274.61
08/12/2021,$274.59,4513787,$274.25,$276.805,$273.06
08/11/2021,$276.41,5785928,$277.442,$278.235,$273.13
08/10/2021,$274.37,6264118,$278.94,$280.49,$272.5
08/09/2021,$278.15,3822996,$280.22,$281.1,$277.46
08/06/2021,$279.54,6086327,$280,$282.3699,$276.87
08/05/2021,$280.67,7354195,$277.1,$280.96,$275.82
08/04/2021,$275.5,6616877,$274.0711,$276.0931,$270.67
08/03/2021,$273.5,8323049,$272.06,$274.54,$269.57
08/02/2021,$270.99,10082820,$276.885,$276.885,$270.4302
07/30/2021,$275.53,11693280,$280.245,$280.5,$274.21
07/29/2021,$283.17,18236970,$285.37,$289,$281.6
07/28/2021,$301.98,9184958,$300.74,$302.43,$296.78
07/27/2021,$300.48,6938396,$305.5,$306.34,$294.89
07/26/2021,$306.8,3805925,$309.66,$310.16,$305.23
07/23/2021,$308.53,4231088,$305.76,$309.475,$304.2
07/22/2021,$303.69,3601476,$302.021,$304.57,$301.87
07/21/2021,$301.77,5497140,$296.49,$301.83,$296.2
07/20/2021,$298.07,5424096,$295.515,$300.03,$291.57
07/19/2021,$294.85,5681478,$292.35,$295.0693,$288.81
07/16/2021,$294.63,4268899,$297.23,$298.75,$294.44
07/15/2021,$296.51,4943528,$300.86,$301.18,$294.14
07/14/2021,$300.75,4848213,$303.01,$304.81,$299.3301
07/13/2021,$301.19,7235032,$302.19,$307.82,$298.75
07/12/2021,$302.97,5455983,$302.37,$303.5,$298.56
07/09/2021,$300.21,5543262,$296.41,$300.83,$295
07/08/2021,$295.05,5911952,$292.1,$295.8651,$289.46
07/07/2021,$297.13,6713925,$294.9,$299.3087,$291.91
07/06/2021,$292.64,5043522,$290.035,$294.526,$289.52
07/02/2021,$290.24,4171502,$290.94,$292.4299,$288.92
07/01/2021,$289,5652486,$290.33,$291.9,$285.76
06/30/2021,$291.48,4235983,$291.53,$292.6999,$289.51
06/29/2021,$292.76,4333201,$292.97,$295.18,$291.53
06/28/2021,$293.65,5058605,$290.85,$294.26,$289.78
06/25/2021,$289.6,6616873,$292.6,$292.87,$287.8
06/24/2021,$293.21,7160286,$290.18,$296.01,$289.64
06/23/2021,$288.12,4966741,$285.94,$288.55,$284.78
06/22/2021,$286.75,6049410,$281.7,$287.46,$280.22
06/21/2021,$283.1,7287754,$283.279,$284.305,$276.725
06/18/2021,$283.38,14713400,$275.3,$286.38,$274.86
06/17/2021,$278.11,8071052,$268.5,$279.3718,$268.46
06/16/2021,$268.82,6874616,$271.4502,$275.1603,$265.3099
06/15/2021,$271.89,5371069,$274.73,$274.73,$270.68
06/14/2021,$274.93,5174233,$271.9,$274.97,$270.6
06/11/2021,$271.45,4494584,$268.75,$271.8999,$268.4
06/10/2021,$269.47,6055717,$263.07,$269.65,$261.69
06/09/2021,$263.6,4652997,$265,$268.1994,$263.26
06/08/2021,$263.15,4427016,$261.574,$264.55,$260.565
06/07/2021,$260.6,3979778,$262.48,$262.94,$260.19
06/04/2021,$263.04,4086113,$259.514,$263.46,$259.15
06/03/2021,$257.79,4947147,$258.4,$260.98,$256.15
06/02/2021,$262.17,6801808,$260.48,$264.7799,$259.58
06/01/2021,$259.27,5869632,$261.08,$263.42,$256.52
05/28/2021,$260.02,4281832,$261.07,$263.15,$259.87
05/27/2021,$259.47,7051206,$259.86,$260.64,$256.28
05/26/2021,$261.37,5405262,$259.78,$262.32,$259.16
05/25/2021,$258.65,6048116,$258.5,$260.37,$257.2801
05/24/2021,$257.17,6370095,$254.13,$257.6,$252.43
05/21/2021,$250.69,6842155,$253.801,$255.21,$250.41
05/20/2021,$251.54,8112928,$246.99,$252.93,$245.35
05/19/2021,$244.63,7210456,$235.86,$245.34,$235.11
05/18/2021,$243.21,4726795,$243.5,$247.435,$242.655
05/17/2021,$244.36,5175465,$245.15,$246.24,$240.6
05/14/2021,$246.29,6729725,$244.019,$247.12,$242.27
05/13/2021,$240.8,7274043,$241.92,$245.68,$237.8
05/12/2021,$239.91,8649753,$240.589,$246.5,$238.82
05/11/2021,$248.6,9258171,$235,$250.5553,$233.61
05/10/2021,$243.63,8909232,$252.015,$252.41,$243.45
05/07/2021,$253.36,10170020,$255.92,$258.64,$251.64
05/06/2021,$252.02,17998730,$256,$256.3094,$245.11
05/05/2021,$247.4,9507304,$254.92,$254.92,$246.245
05/04/2021,$250.16,9217267,$255.73,$256.8,$246.6501
05/03/2021,$259.09,7522024,$265.06,$265.8,$256.18
04/30/2021,$262.29,6594463,$265,$266.1499,$261.6
04/29/2021,$267.85,5663677,$273.26,$273.87,$263.53
04/28/2021,$271.09,5530309,$268.758,$275.25,$267.17
04/27/2021,$268.82,4296187,$272.05,$273.82,$268.03
04/26/2021,$271.72,5327779,$266.66,$271.75,$265.92
04/23/2021,$266.03,6299063,$260.97,$267.79,$260.97
