"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","118.090","120.130","122.710","116.790","1.39M","-0.86%"
"Mar 22","119.110","117.493","127.630","105.350","39.77M","0.80%"
"Feb 22","118.170","109.000","123.100","107.620","35.22M","5.93%"
"Jan 22","111.560","100.100","113.760","99.010","38.96M","11.44%"
"Dec 21","100.110","94.340","101.700","92.700","24.05M","7.07%"
"Nov 21","93.500","90.300","97.090","87.280","31.87M","3.56%"
"Oct 21","90.290","97.860","104.250","90.290","29.42M","-9.87%"
"Sep 21","100.180","110.400","112.670","93.140","38.11M","-10.60%"
"Aug 21","112.060","130.370","132.694","105.030","37.50M","-14.35%"
"Jul 21","130.831","125.369","134.665","121.240","24.10M","5.35%"
"Jun 21","124.182","121.593","126.031","117.514","25.14M","2.35%"
"May 21","121.329","118.652","130.360","116.073","27.10M","2.13%"
"Apr 21","118.799","109.964","121.397","109.630","25.01M","9.39%"
"Mar 21","108.601","124.844","126.593","104.678","34.23M","-12.12%"
"Feb 21","123.572","106.181","126.399","106.108","28.03M","15.30%"
"Jan 21","107.172","111.243","123.387","106.045","24.28M","-3.09%"
"Dec 20","110.592","99.001","115.226","97.981","31.55M","12.26%"
"Nov 20","98.515","89.966","101.848","88.654","27.65M","9.70%"
"Oct 20","89.800","92.783","95.426","87.474","28.99M","-2.00%"
"Sep 20","91.637","93.813","101.216","91.258","39.46M","-3.76%"
"Aug 20","95.212","99.195","102.878","94.930","32.79M","-3.92%"
"Jul 20","99.098","95.367","104.578","92.346","33.34M","4.12%"
"Jun 20","95.173","91.676","100.332","91.676","36.29M","4.88%"
"May 20","90.743","82.485","93.366","77.821","40.01M","6.73%"
"Apr 20","85.020","85.341","90.772","81.484","38.67M","3.48%"
"Mar 20","82.164","84.175","88.868","70.700","71.37M","-3.09%"
"Feb 20","84.787","93.920","96.669","84.136","31.58M","-11.64%"
"Jan 20","95.960","97.272","104.723","94.367","24.55M","-1.62%"
"Dec 19","97.544","94.095","100.711","90.947","24.36M","3.61%"
