"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","24.140","23.950","24.400","23.900","3.80M","-0.41%"
"Mar 22","24.240","22.850","24.600","21.570","190.86M","6.27%"
"Feb 22","22.810","20.350","23.950","20.280","291.01M","12.36%"
"Jan 22","20.300","21.500","21.950","20.000","193.07M","-4.92%"
"Dec 21","21.350","20.500","21.650","20.370","160.18M","4.04%"
"Nov 21","20.520","24.500","24.700","20.520","269.49M","-20.06%"
"Oct 21","25.670","25.610","26.440","25.200","121.46M","-1.27%"
"Sep 21","26.000","25.630","26.220","24.900","123.09M","0.70%"
"Aug 21","25.820","24.650","26.190","24.630","115.55M","5.30%"
"Jul 21","24.520","25.940","25.940","24.130","107.42M","-5.00%"
"Jun 21","25.810","26.290","27.120","25.555","121.30M","-2.31%"
"May 21","26.420","25.710","26.550","25.040","160.26M","5.76%"
"Apr 21","24.980","24.420","25.520","24.260","103.08M","2.34%"
"Mar 21","24.410","23.870","25.300","23.810","152.74M","2.48%"
"Feb 21","23.820","20.800","24.480","20.660","147.53M","12.73%"
"Jan 21","21.130","19.460","21.970","19.230","138.26M","9.09%"
"Dec 20","19.370","20.010","20.470","19.370","152.58M","-3.78%"
"Nov 20","20.130","18.080","21.070","17.180","264.52M","12.40%"
"Oct 20","17.910","16.900","19.070","16.510","178.33M","6.35%"
"Sep 20","16.840","17.340","17.760","16.000","200.26M","-3.99%"
"Aug 20","17.540","16.830","18.450","16.270","186.91M","2.63%"
"Jul 20","17.090","18.170","18.910","17.050","183.14M","-4.79%"
"Jun 20","17.950","16.850","20.190","16.700","275.16M","4.24%"
"May 20","17.220","15.880","19.040","14.910","269.28M","5.77%"
"Apr 20","16.280","17.080","17.080","14.530","280.91M","-1.33%"
"Mar 20","16.500","23.240","23.660","13.470","483.64M","-30.20%"
"Feb 20","23.640","24.900","25.960","23.515","174.30M","-5.89%"
"Jan 20","25.120","24.110","25.400","24.090","119.11M","3.67%"
"Dec 19","24.230","24.630","24.940","23.860","145.61M","-1.18%"
