"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","47.960","49.280","50.545","47.780","1.92M","-4.86%"
"Mar 22","50.410","48.600","51.660","47.650","47.30M","4.61%"
"Feb 22","48.190","53.020","55.190","47.445","47.55M","-8.58%"
"Jan 22","52.710","59.820","60.320","49.840","46.32M","-11.11%"
"Dec 21","59.300","57.350","60.780","56.520","31.84M","4.29%"
"Nov 21","56.860","56.264","59.780","55.771","33.42M","-0.68%"
"Oct 21","57.250","55.000","58.600","53.830","32.60M","2.69%"
"Sep 21","55.750","58.220","58.580","55.010","43.05M","-7.01%"
"Aug 21","59.950","61.780","67.200","59.920","34.79M","-1.95%"
"Jul 21","61.140","59.100","62.690","57.580","31.06M","3.45%"
"Jun 21","59.100","55.240","59.600","54.200","34.18M","6.70%"
"May 21","55.390","54.110","55.950","53.120","26.89M","2.37%"
"Apr 21","54.110","53.200","56.190","52.630","29.26M","2.73%"
"Mar 21","52.670","49.840","53.500","49.270","37.87M","6.97%"
"Feb 21","49.240","54.290","56.400","49.010","36.81M","-9.83%"
"Jan 21","54.610","50.780","55.570","50.140","32.20M","8.35%"
"Dec 20","50.400","49.320","51.910","49.050","36.52M","1.92%"
"Nov 20","49.450","45.900","50.670","45.630","45.15M","7.59%"
"Oct 20","45.960","44.720","48.670","44.330","36.10M","3.47%"
"Sep 20","44.420","46.920","48.910","43.500","51.42M","-6.52%"
"Aug 20","47.520","45.723","49.670","45.414","48.07M","2.46%"
"Jul 20","46.381","44.517","47.138","44.258","42.64M","3.84%"
"Jun 20","44.667","39.715","45.145","39.635","61.93M","11.05%"
"May 20","40.223","36.885","41.170","35.630","41.48M","7.11%"
"Apr 20","37.553","34.863","38.589","33.876","52.96M","9.98%"
"Mar 20","34.145","39.655","40.940","29.642","110.52M","-15.69%"
"Feb 20","40.502","44.637","47.242","40.382","45.14M","-10.09%"
"Jan 20","45.045","40.801","45.364","40.801","36.38M","9.20%"
"Dec 19","41.249","42.146","42.495","40.084","45.49M","-2.29%"
