"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","38.120","37.150","38.290","36.840","1.89M","2.31%"
"Mar 22","37.260","35.640","37.460","34.060","61.86M","4.99%"
"Feb 22","35.490","34.450","36.770","33.535","60.53M","3.11%"
"Jan 22","34.420","38.150","38.650","33.450","58.01M","-9.44%"
"Dec 21","38.010","40.000","41.130","36.260","54.35M","-6.88%"
"Nov 21","40.820","38.590","41.000","38.150","51.40M","7.20%"
"Oct 21","38.080","38.770","41.120","38.080","79.26M","-3.23%"
"Sep 21","39.350","41.910","41.910","37.780","46.66M","-5.75%"
"Aug 21","41.750","39.100","42.660","38.970","42.53M","7.71%"
"Jul 21","38.760","38.350","39.730","37.100","42.45M","1.65%"
"Jun 21","38.130","36.693","38.909","35.955","64.61M","3.74%"
"May 21","36.755","34.927","37.329","34.220","39.27M","5.90%"
"Apr 21","34.706","36.048","37.594","34.503","48.02M","-3.84%"
"Mar 21","36.092","35.236","36.375","33.840","42.05M","3.73%"
"Feb 21","34.794","35.748","36.878","34.158","38.76M","-3.57%"
"Jan 21","36.083","35.059","37.134","34.414","32.11M","3.94%"
"Dec 20","34.715","32.666","35.695","32.666","44.99M","6.30%"
"Nov 20","32.657","33.893","35.041","32.569","52.17M","-3.09%"
"Oct 20","33.699","32.198","35.024","31.800","39.72M","4.75%"
"Sep 20","32.171","34.379","35.271","31.774","57.93M","-8.63%"
"Aug 20","35.209","34.026","36.022","33.982","47.15M","3.08%"
"Jul 20","34.158","32.781","34.900","32.277","48.33M","3.76%"
"Jun 20","32.922","30.741","33.690","30.732","79.08M","5.49%"
"May 20","31.209","30.944","31.703","29.866","67.11M","-1.15%"
"Apr 20","31.571","31.880","33.664","30.591","74.86M","1.85%"
"Mar 20","30.997","33.319","36.975","28.365","148.92M","-9.54%"
"Feb 20","34.264","36.490","38.821","34.158","49.54M","-7.27%"
"Jan 20","36.949","31.668","37.077","31.615","49.24M","15.71%"
"Dec 19","31.933","35.059","35.359","31.933","46.31M","-9.05%"
