Date,URATEAU
1978-02-01,6.645
1978-03-01,6.302
1978-04-01,6.267
1978-05-01,6.209
1978-06-01,6.303
1978-07-01,6.223
1978-08-01,6.49
1978-09-01,6.256
1978-10-01,6.163
1978-11-01,6.33
1978-12-01,6.405
1979-01-01,6.37
1979-02-01,6.257
1979-03-01,6.303
1979-04-01,6.498
1979-05-01,6.203
1979-06-01,6.251
1979-07-01,6.274
1979-08-01,6.118
1979-09-01,6.232
1979-10-01,6.384
1979-11-01,6.044
1979-12-01,6.12
1980-01-01,6.146
1980-02-01,5.999
1980-03-01,5.936
1980-04-01,6.115
1980-05-01,6.245
1980-06-01,6.323
1980-07-01,6.077
1980-08-01,6.177
1980-09-01,6.141
1980-10-01,6.055
1980-11-01,5.85
1980-12-01,6.051
1981-01-01,5.916
1981-02-01,5.617
1981-03-01,5.746
1981-04-01,5.555
1981-05-01,5.588
1981-06-01,5.374
1981-07-01,5.827
1981-08-01,5.846
1981-09-01,5.812
1981-10-01,5.872
1981-11-01,5.995
1981-12-01,6.026
1982-01-01,5.982
1982-02-01,6.308
1982-03-01,6.322
1982-04-01,6.333
1982-05-01,6.592
1982-06-01,6.766
1982-07-01,6.883
1982-08-01,7.011
1982-09-01,7.429
1982-10-01,8.294
1982-11-01,8.679
1982-12-01,9.401
1983-01-01,9.3
1983-02-01,9.658
1983-03-01,9.951
1983-04-01,10.15
1983-05-01,10.32
1983-06-01,10.2
1983-07-01,10.52
1983-08-01,10.22
1983-09-01,10.34
1983-10-01,10.01
1983-11-01,9.653
1983-12-01,9.457
1984-01-01,9.498
1984-02-01,9.385
1984-03-01,9.207
1984-04-01,9.37
1984-05-01,8.936
1984-06-01,9.094
1984-07-01,8.919
1984-08-01,8.828
1984-09-01,8.735
1984-10-01,8.695
1984-11-01,8.679
1984-12-01,8.519
1985-01-01,8.55
1985-02-01,8.389
1985-03-01,8.665
1985-04-01,8.402
1985-05-01,8.375
1985-06-01,8.569
1985-07-01,8.31
1985-08-01,8.155
1985-09-01,8.057
1985-10-01,7.848
1985-11-01,7.95
1985-12-01,7.784
1986-01-01,7.805
1986-02-01,8.003
1986-03-01,7.926
1986-04-01,7.901
1986-05-01,7.846
